awardID,awardFixedID,awardCode,name,versionNumber,awardOperativeFrom,awardOperativeTo,lastModifiedDateTime
d95171e3-932f-f011-8c4e-00224895df16,1,MA000001,Black Coal Mining Industry Award 2020,3,01-01-2010,,04-07-2025 00:23:18
5ef2d7e2-932f-f011-8c4d-00224897b7fd,2,MA000002,Clerks—Private Sector Award 2020 ,2,01-01-2010,,30-06-2025 17:00:38
5bf2d7e2-932f-f011-8c4d-00224897b7fd,3,MA000003,Fast Food Industry Award 2020,3,01-01-2010,,04-07-2025 00:23:19
7576a750-942f-f011-8c4e-000d3a6a6511,4,MA000004,General Retail Industry Award 2020,2,01-01-2010,,04-07-2025 00:23:20
c5daac4a-942f-f011-8c4d-6045bde534d3,5,MA000005,Hair and Beauty Industry Award 2020,3,01-01-2010,,04-07-2025 00:23:20
245c900d-942f-f011-8c4d-00224897b7fd,6,MA000006,Higher Education Industry—Academic Staff—Award 2020,2,01-01-2010,,04-07-2025 00:23:20
8a05bc9f-942f-f011-8c4e-000d3acb71b1,7,MA000007,Higher Education Industry—General Staff—Award 2020,2,01-01-2010,,04-07-2025 00:23:20
a1659e7c-942f-f011-8c4d-7c1e522a6eb4,8,MA000008,Horse and Greyhound Training Award 2020,2,01-01-2010,,30-06-2025 17:01:01
2c6e222d-942f-f011-8c4e-000d3acb71b1,9,MA000009,Hospitality Industry (General) Award 2020,2,01-01-2010,,04-07-2025 00:23:20
fc5d81ff-942f-f011-8c4d-000d3ad2853b,10,MA000010,Manufacturing and Associated Industries and Occupations Award 2020 ,2,01-01-2010,,04-07-2025 00:23:20
96564f85-942f-f011-8c4d-00224810246b,11,MA000011,Mining Industry Award 2020,2,01-01-2010,,04-07-2025 00:23:21
7b9af9a9-942f-f011-8c4d-00224894de5b,12,MA000012,Pharmacy Industry Award 2020,2,01-01-2010,,04-07-2025 00:23:21
f203a53b-952f-f011-8c4e-002248925dcb,13,MA000013,Racing Clubs Events Award 2020,2,01-01-2010,,04-07-2025 00:23:21
2cdb6097-942f-f011-8c4d-00224810246b,14,MA000014,Racing Industry Ground Maintenance Award 2020,2,01-01-2010,,04-07-2025 00:23:21
442b29c5-942f-f011-8c4e-00224892cf43,15,MA000015,Rail Industry Award 2020,2,01-01-2010,,04-07-2025 00:23:21
ad005a4d-952f-f011-8c4e-002248984ef3,16,MA000016,Security Services Industry Award 2020,2,01-01-2010,,04-07-2025 00:23:21
7704fda5-942f-f011-8c4d-00224897b7fd,17,MA000017,"Textile, Clothing, Footwear and Associated Industries Award 2020",2,01-01-2010,,04-07-2025 00:23:21
ff1a0400-952f-f011-8c4e-000d3ad07e3a,18,MA000018,Aged Care Award 2010,2,01-01-2010,,24-09-2025 07:20:36
a602405e-952f-f011-8c4e-000d3ad25630,19,MA000019,"Banking, Finance and Insurance Award 2020",2,01-01-2010,,04-07-2025 00:23:22
820e9dce-942f-f011-8c4d-00224894de5b,20,MA000020,Building and Construction General On-site Award 2020,2,01-01-2010,,04-07-2025 00:23:22
bad68603-952f-f011-8c4d-000d3acae51f,21,MA000021,Business Equipment Award 2020,2,01-01-2010,,30-06-2025 17:01:40
8c508f8a-952f-f011-8c4e-00224895df16,22,MA000022,Cleaning Services Award 2020,2,01-01-2010,,04-07-2025 00:23:22
f971f8d9-942f-f011-8c4e-000d3ad07e3a,23,MA000023,Contract Call Centres Award 2020,2,01-01-2010,,04-07-2025 00:23:22
163fc560-952f-f011-8c4e-000d3acb71b1,24,MA000024,Cotton Ginning Award 2020,2,01-01-2010,,04-07-2025 00:23:22
